[06-Jun-2022 11:51:49 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:05:49 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:05:52 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 38
[06-Jun-2022 12:05:58 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/add_items.php on line 61
[06-Jun-2022 12:06:10 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/add_items.php on line 61
[06-Jun-2022 12:06:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/add_items.php on line 61
[06-Jun-2022 12:07:17 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 38
[06-Jun-2022 12:07:21 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/add_items.php on line 61
[06-Jun-2022 12:10:48 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:10:48 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:10:48 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:11:25 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:11:25 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:11:25 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:11:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:11:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:11:27 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:12:57 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:12:57 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:12:57 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:17:29 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:17:29 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:17:29 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:33:07 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:33:07 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:33:07 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:33:58 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:33:58 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:33:58 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:33:58 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:33:58 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
